Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);1;0;0;3;0;1;1;1;1;2;0;0;10;2023;Capital;São Paulo;075 DP - Jardim Arpoador
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);1;0;0;3;0;1;1;1;1;2;0;0;10;2023;Capital;São Paulo;075 DP - Jardim Arpoador
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;075 DP - Jardim Arpoador
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;075 DP - Jardim Arpoador
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;1;0;0;0;0;1;1;0;0;1;1;2;7;2023;Capital;São Paulo;075 DP - Jardim Arpoador
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;075 DP - Jardim Arpoador
TENTATIVA DE HOMICÍDIO;2;2;4;1;0;0;1;0;2;2;1;0;15;2023;Capital;São Paulo;075 DP - Jardim Arpoador
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;075 DP - Jardim Arpoador
LESÃO CORPORAL DOLOSA;30;29;34;35;33;23;33;28;23;33;27;31;359;2023;Capital;São Paulo;075 DP - Jardim Arpoador
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;9;5;11;7;6;9;5;7;13;8;11;11;102;2023;Capital;São Paulo;075 DP - Jardim Arpoador
LESÃO CORPORAL CULPOSA - OUTRAS;1;1;1;2;1;0;0;2;1;3;1;1;14;2023;Capital;São Paulo;075 DP - Jardim Arpoador
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;075 DP - Jardim Arpoador
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;075 DP - Jardim Arpoador
TOTAL DE ESTUPRO (4);5;1;8;5;2;2;4;7;5;8;4;5;56;2023;Capital;São Paulo;075 DP - Jardim Arpoador
ESTUPRO;1;0;0;0;0;0;2;3;1;1;1;2;11;2023;Capital;São Paulo;075 DP - Jardim Arpoador
ESTUPRO DE VULNERÁVEL;4;1;8;5;2;2;2;4;4;7;3;3;45;2023;Capital;São Paulo;075 DP - Jardim Arpoador
TOTAL DE ROUBO - OUTROS (1);131;122;99;101;96;88;100;82;100;104;106;91;1.220;2023;Capital;São Paulo;075 DP - Jardim Arpoador
ROUBO - OUTROS;125;113;93;94;91;84;94;74;90;98;103;89;1.148;2023;Capital;São Paulo;075 DP - Jardim Arpoador
ROUBO DE VEÍCULO;12;19;11;23;17;18;18;17;22;19;14;23;213;2023;Capital;São Paulo;075 DP - Jardim Arpoador
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;075 DP - Jardim Arpoador
ROUBO DE CARGA;6;9;6;7;5;4;6;8;10;6;3;2;72;2023;Capital;São Paulo;075 DP - Jardim Arpoador
FURTO - OUTROS;89;69;105;81;80;83;138;132;99;91;98;88;1.153;2023;Capital;São Paulo;075 DP - Jardim Arpoador
FURTO DE VEÍCULO;25;34;28;24;32;30;36;20;24;36;39;23;351;2023;Capital;São Paulo;075 DP - Jardim Arpoador
