Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;0;1;0;1;0;1;0;0;1;0;0;4;2023;Capital;São Paulo;077 DP - Santa Cecília
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;1;0;1;0;1;0;0;1;0;0;4;2023;Capital;São Paulo;077 DP - Santa Cecília
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;077 DP - Santa Cecília
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;077 DP - Santa Cecília
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;1;0;0;0;0;0;1;0;0;0;0;0;2;2023;Capital;São Paulo;077 DP - Santa Cecília
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;077 DP - Santa Cecília
TENTATIVA DE HOMICÍDIO;0;0;0;3;0;1;1;1;0;0;0;0;6;2023;Capital;São Paulo;077 DP - Santa Cecília
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;077 DP - Santa Cecília
LESÃO CORPORAL DOLOSA;19;28;19;20;23;32;24;39;31;24;33;33;325;2023;Capital;São Paulo;077 DP - Santa Cecília
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;3;4;3;2;4;3;6;5;7;6;4;4;51;2023;Capital;São Paulo;077 DP - Santa Cecília
LESÃO CORPORAL CULPOSA - OUTRAS;0;1;0;2;0;0;1;1;0;0;0;1;6;2023;Capital;São Paulo;077 DP - Santa Cecília
LATROCÍNIO;0;0;0;0;0;0;1;0;0;0;0;0;1;2023;Capital;São Paulo;077 DP - Santa Cecília
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;1;0;0;0;0;0;1;2023;Capital;São Paulo;077 DP - Santa Cecília
TOTAL DE ESTUPRO (4);1;1;0;3;2;0;3;0;2;0;4;3;19;2023;Capital;São Paulo;077 DP - Santa Cecília
ESTUPRO;0;1;0;3;2;0;1;0;1;0;1;2;11;2023;Capital;São Paulo;077 DP - Santa Cecília
ESTUPRO DE VULNERÁVEL;1;0;0;0;0;0;2;0;1;0;3;1;8;2023;Capital;São Paulo;077 DP - Santa Cecília
TOTAL DE ROUBO - OUTROS (1);201;170;181;152;107;115;112;138;153;156;165;170;1.820;2023;Capital;São Paulo;077 DP - Santa Cecília
ROUBO - OUTROS;201;170;181;152;107;115;112;138;153;156;164;170;1.819;2023;Capital;São Paulo;077 DP - Santa Cecília
ROUBO DE VEÍCULO;1;4;0;1;0;0;1;1;0;1;3;2;14;2023;Capital;São Paulo;077 DP - Santa Cecília
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;077 DP - Santa Cecília
ROUBO DE CARGA;0;0;0;0;0;0;0;0;0;0;1;0;1;2023;Capital;São Paulo;077 DP - Santa Cecília
FURTO - OUTROS;435;439;378;320;281;314;323;392;394;404;388;319;4.387;2023;Capital;São Paulo;077 DP - Santa Cecília
FURTO DE VEÍCULO;18;22;25;9;10;20;19;13;22;24;19;14;215;2023;Capital;São Paulo;077 DP - Santa Cecília
