Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;0;0;0;0;1;0;0;0;0;0;2;3;2023;Capital;São Paulo;078 DP - Jardins
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;1;0;0;0;0;0;2;3;2023;Capital;São Paulo;078 DP - Jardins
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;078 DP - Jardins
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;078 DP - Jardins
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;1;0;0;0;0;0;0;0;0;1;0;2;2023;Capital;São Paulo;078 DP - Jardins
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;078 DP - Jardins
TENTATIVA DE HOMICÍDIO;0;0;0;0;0;0;0;0;3;0;0;0;3;2023;Capital;São Paulo;078 DP - Jardins
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;078 DP - Jardins
LESÃO CORPORAL DOLOSA;8;16;30;20;16;19;22;25;20;25;22;20;243;2023;Capital;São Paulo;078 DP - Jardins
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;10;8;7;7;10;9;11;12;9;12;10;5;110;2023;Capital;São Paulo;078 DP - Jardins
LESÃO CORPORAL CULPOSA - OUTRAS;1;1;1;0;0;0;3;1;0;0;0;3;10;2023;Capital;São Paulo;078 DP - Jardins
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;078 DP - Jardins
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;078 DP - Jardins
TOTAL DE ESTUPRO (4);2;1;0;0;0;0;2;1;2;2;2;0;12;2023;Capital;São Paulo;078 DP - Jardins
ESTUPRO;1;1;0;0;0;0;1;0;2;1;1;0;7;2023;Capital;São Paulo;078 DP - Jardins
ESTUPRO DE VULNERÁVEL;1;0;0;0;0;0;1;1;0;1;1;0;5;2023;Capital;São Paulo;078 DP - Jardins
TOTAL DE ROUBO - OUTROS (1);232;238;208;141;156;231;179;163;181;177;184;164;2.254;2023;Capital;São Paulo;078 DP - Jardins
ROUBO - OUTROS;232;238;206;141;156;231;179;163;181;176;184;164;2.251;2023;Capital;São Paulo;078 DP - Jardins
ROUBO DE VEÍCULO;4;1;4;0;1;1;2;0;3;0;2;1;19;2023;Capital;São Paulo;078 DP - Jardins
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;078 DP - Jardins
ROUBO DE CARGA;0;0;2;0;0;0;0;0;0;1;0;0;3;2023;Capital;São Paulo;078 DP - Jardins
FURTO - OUTROS;938;629;815;653;667;1.433;713;665;681;638;670;533;9.035;2023;Capital;São Paulo;078 DP - Jardins
FURTO DE VEÍCULO;33;26;41;34;37;30;33;24;28;28;33;21;368;2023;Capital;São Paulo;078 DP - Jardins
