Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;1;0;0;0;0;1;0;0;0;1;0;3;2023;Capital;São Paulo;080 DP - Vila Joaniza
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;2;0;0;0;0;1;0;0;0;1;0;4;2023;Capital;São Paulo;080 DP - Vila Joaniza
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;080 DP - Vila Joaniza
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;080 DP - Vila Joaniza
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;1;1;0;0;0;1;0;1;1;0;5;2023;Capital;São Paulo;080 DP - Vila Joaniza
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;080 DP - Vila Joaniza
TENTATIVA DE HOMICÍDIO;1;1;0;1;1;0;0;0;0;0;0;0;4;2023;Capital;São Paulo;080 DP - Vila Joaniza
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;080 DP - Vila Joaniza
LESÃO CORPORAL DOLOSA;27;15;33;28;33;18;15;21;34;25;20;26;295;2023;Capital;São Paulo;080 DP - Vila Joaniza
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;7;7;10;6;4;5;8;9;8;6;4;4;78;2023;Capital;São Paulo;080 DP - Vila Joaniza
LESÃO CORPORAL CULPOSA - OUTRAS;2;0;0;0;0;0;1;2;1;0;0;1;7;2023;Capital;São Paulo;080 DP - Vila Joaniza
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;080 DP - Vila Joaniza
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;080 DP - Vila Joaniza
TOTAL DE ESTUPRO (4);3;2;3;1;3;0;1;2;2;0;2;1;20;2023;Capital;São Paulo;080 DP - Vila Joaniza
ESTUPRO;0;0;0;0;2;0;1;1;0;0;0;0;4;2023;Capital;São Paulo;080 DP - Vila Joaniza
ESTUPRO DE VULNERÁVEL;3;2;3;1;1;0;0;1;2;0;2;1;16;2023;Capital;São Paulo;080 DP - Vila Joaniza
TOTAL DE ROUBO - OUTROS (1);109;82;124;93;99;100;75;68;61;69;67;61;1.008;2023;Capital;São Paulo;080 DP - Vila Joaniza
ROUBO - OUTROS;108;82;122;91;99;100;74;67;61;69;66;59;998;2023;Capital;São Paulo;080 DP - Vila Joaniza
ROUBO DE VEÍCULO;15;12;29;21;21;20;20;14;9;20;18;12;211;2023;Capital;São Paulo;080 DP - Vila Joaniza
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;080 DP - Vila Joaniza
ROUBO DE CARGA;1;0;2;2;0;0;1;1;0;0;1;2;10;2023;Capital;São Paulo;080 DP - Vila Joaniza
FURTO - OUTROS;66;69;79;82;112;88;88;92;82;81;77;82;998;2023;Capital;São Paulo;080 DP - Vila Joaniza
FURTO DE VEÍCULO;19;15;12;14;20;13;16;17;11;6;17;11;171;2023;Capital;São Paulo;080 DP - Vila Joaniza
