Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;0;0;0;0;1;0;0;0;1;0;2;4;2023;Capital;São Paulo;081 DP - Belém
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;1;0;0;0;1;0;2;4;2023;Capital;São Paulo;081 DP - Belém
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;081 DP - Belém
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;081 DP - Belém
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;1;0;1;1;1;0;0;0;4;2023;Capital;São Paulo;081 DP - Belém
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;081 DP - Belém
TENTATIVA DE HOMICÍDIO;0;0;1;0;0;0;0;0;0;1;1;2;5;2023;Capital;São Paulo;081 DP - Belém
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;081 DP - Belém
LESÃO CORPORAL DOLOSA;13;20;21;13;15;15;9;15;18;14;22;13;188;2023;Capital;São Paulo;081 DP - Belém
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;4;3;5;7;2;4;5;9;4;6;4;4;57;2023;Capital;São Paulo;081 DP - Belém
LESÃO CORPORAL CULPOSA - OUTRAS;1;0;0;0;0;0;1;0;1;2;1;0;6;2023;Capital;São Paulo;081 DP - Belém
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;081 DP - Belém
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;081 DP - Belém
TOTAL DE ESTUPRO (4);2;1;0;1;0;0;0;2;1;2;1;0;10;2023;Capital;São Paulo;081 DP - Belém
ESTUPRO;2;0;0;1;0;0;0;0;0;2;0;0;5;2023;Capital;São Paulo;081 DP - Belém
ESTUPRO DE VULNERÁVEL;0;1;0;0;0;0;0;2;1;0;1;0;5;2023;Capital;São Paulo;081 DP - Belém
TOTAL DE ROUBO - OUTROS (1);32;32;37;21;31;21;27;28;44;32;33;38;376;2023;Capital;São Paulo;081 DP - Belém
ROUBO - OUTROS;32;28;35;21;30;19;26;28;43;32;30;37;361;2023;Capital;São Paulo;081 DP - Belém
ROUBO DE VEÍCULO;2;1;3;2;2;2;2;3;1;1;4;2;25;2023;Capital;São Paulo;081 DP - Belém
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;081 DP - Belém
ROUBO DE CARGA;0;4;2;0;1;2;1;0;1;0;3;1;15;2023;Capital;São Paulo;081 DP - Belém
FURTO - OUTROS;63;64;93;85;108;83;92;101;101;91;98;95;1.074;2023;Capital;São Paulo;081 DP - Belém
FURTO DE VEÍCULO;10;14;17;10;14;16;5;8;17;5;17;9;142;2023;Capital;São Paulo;081 DP - Belém
