Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;0;1;1;2;0;1;1;0;0;1;0;7;2023;Capital;São Paulo;083 DP - Parque Bristol
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;1;1;2;0;1;1;0;0;1;0;7;2023;Capital;São Paulo;083 DP - Parque Bristol
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;083 DP - Parque Bristol
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;083 DP - Parque Bristol
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;083 DP - Parque Bristol
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;083 DP - Parque Bristol
TENTATIVA DE HOMICÍDIO;0;1;1;0;2;1;0;0;2;1;2;0;10;2023;Capital;São Paulo;083 DP - Parque Bristol
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;083 DP - Parque Bristol
LESÃO CORPORAL DOLOSA;25;20;36;24;25;37;30;27;30;28;18;24;324;2023;Capital;São Paulo;083 DP - Parque Bristol
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;5;7;4;5;8;6;10;4;1;12;5;5;72;2023;Capital;São Paulo;083 DP - Parque Bristol
LESÃO CORPORAL CULPOSA - OUTRAS;1;1;0;1;1;0;0;0;0;1;1;0;6;2023;Capital;São Paulo;083 DP - Parque Bristol
LATROCÍNIO;0;0;0;0;0;1;0;0;0;0;0;0;1;2023;Capital;São Paulo;083 DP - Parque Bristol
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;1;0;0;0;0;0;0;1;2023;Capital;São Paulo;083 DP - Parque Bristol
TOTAL DE ESTUPRO (4);1;3;5;0;1;2;0;1;5;1;0;0;19;2023;Capital;São Paulo;083 DP - Parque Bristol
ESTUPRO;0;0;2;0;0;0;0;0;1;0;0;0;3;2023;Capital;São Paulo;083 DP - Parque Bristol
ESTUPRO DE VULNERÁVEL;1;3;3;0;1;2;0;1;4;1;0;0;16;2023;Capital;São Paulo;083 DP - Parque Bristol
TOTAL DE ROUBO - OUTROS (1);32;39;53;34;34;28;48;49;42;56;44;32;491;2023;Capital;São Paulo;083 DP - Parque Bristol
ROUBO - OUTROS;32;38;52;34;34;28;47;49;41;56;44;32;487;2023;Capital;São Paulo;083 DP - Parque Bristol
ROUBO DE VEÍCULO;11;14;18;12;14;9;11;6;13;7;7;14;136;2023;Capital;São Paulo;083 DP - Parque Bristol
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;083 DP - Parque Bristol
ROUBO DE CARGA;0;1;1;0;0;0;1;0;1;0;0;0;4;2023;Capital;São Paulo;083 DP - Parque Bristol
FURTO - OUTROS;52;43;92;63;94;58;63;83;80;60;68;45;801;2023;Capital;São Paulo;083 DP - Parque Bristol
FURTO DE VEÍCULO;19;11;26;31;31;20;33;24;24;22;18;19;278;2023;Capital;São Paulo;083 DP - Parque Bristol
