Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);2;1;0;1;1;0;0;0;3;1;2;0;11;2023;Capital;São Paulo;085 DP - Jardim Mirna
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);2;1;0;1;1;0;0;0;3;1;2;0;11;2023;Capital;São Paulo;085 DP - Jardim Mirna
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;085 DP - Jardim Mirna
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;085 DP - Jardim Mirna
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;1;0;0;0;0;0;0;1;2;2;1;1;8;2023;Capital;São Paulo;085 DP - Jardim Mirna
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;085 DP - Jardim Mirna
TENTATIVA DE HOMICÍDIO;3;1;1;4;0;1;3;0;3;0;0;1;17;2023;Capital;São Paulo;085 DP - Jardim Mirna
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;1;0;0;0;0;0;0;1;2023;Capital;São Paulo;085 DP - Jardim Mirna
LESÃO CORPORAL DOLOSA;60;57;64;41;59;53;46;55;49;56;57;59;656;2023;Capital;São Paulo;085 DP - Jardim Mirna
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;15;12;6;17;12;13;13;15;16;15;13;12;159;2023;Capital;São Paulo;085 DP - Jardim Mirna
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;1;1;0;0;0;2;0;0;1;1;6;2023;Capital;São Paulo;085 DP - Jardim Mirna
LATROCÍNIO;0;0;0;1;0;0;0;0;0;0;0;0;1;2023;Capital;São Paulo;085 DP - Jardim Mirna
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;1;0;0;0;0;0;0;0;0;1;2023;Capital;São Paulo;085 DP - Jardim Mirna
TOTAL DE ESTUPRO (4);7;10;9;6;6;4;3;7;3;11;7;1;74;2023;Capital;São Paulo;085 DP - Jardim Mirna
ESTUPRO;2;1;3;1;2;1;0;0;1;2;0;0;13;2023;Capital;São Paulo;085 DP - Jardim Mirna
ESTUPRO DE VULNERÁVEL;5;9;6;5;4;3;3;7;2;9;7;1;61;2023;Capital;São Paulo;085 DP - Jardim Mirna
TOTAL DE ROUBO - OUTROS (1);212;181;171;174;169;191;209;196;189;180;180;150;2.202;2023;Capital;São Paulo;085 DP - Jardim Mirna
ROUBO - OUTROS;199;169;159;164;157;179;191;181;173;165;168;137;2.042;2023;Capital;São Paulo;085 DP - Jardim Mirna
ROUBO DE VEÍCULO;20;19;14;20;9;10;15;16;5;16;15;24;183;2023;Capital;São Paulo;085 DP - Jardim Mirna
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;085 DP - Jardim Mirna
ROUBO DE CARGA;13;12;12;10;12;12;18;15;16;15;12;13;160;2023;Capital;São Paulo;085 DP - Jardim Mirna
FURTO - OUTROS;179;139;161;182;183;194;209;162;154;203;179;175;2.120;2023;Capital;São Paulo;085 DP - Jardim Mirna
FURTO DE VEÍCULO;25;18;25;27;25;20;23;42;24;15;25;24;293;2023;Capital;São Paulo;085 DP - Jardim Mirna
