Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);1;0;0;0;0;0;0;0;0;0;0;1;2;2023;Capital;São Paulo;087 DP - Vila Pereira Barreto
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);1;0;0;0;0;0;0;0;0;0;0;1;2;2023;Capital;São Paulo;087 DP - Vila Pereira Barreto
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;087 DP - Vila Pereira Barreto
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;087 DP - Vila Pereira Barreto
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;1;0;1;1;0;0;1;2;0;2;8;2023;Capital;São Paulo;087 DP - Vila Pereira Barreto
HOMICÍDIO CULPOSO OUTROS;0;1;0;0;0;0;0;0;0;0;0;0;1;2023;Capital;São Paulo;087 DP - Vila Pereira Barreto
TENTATIVA DE HOMICÍDIO;1;1;0;0;1;0;1;1;1;1;1;0;8;2023;Capital;São Paulo;087 DP - Vila Pereira Barreto
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;087 DP - Vila Pereira Barreto
LESÃO CORPORAL DOLOSA;25;27;32;34;33;24;22;25;38;33;42;28;363;2023;Capital;São Paulo;087 DP - Vila Pereira Barreto
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;7;5;15;7;8;2;9;11;13;12;12;11;112;2023;Capital;São Paulo;087 DP - Vila Pereira Barreto
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;1;0;0;0;1;0;1;1;1;0;5;2023;Capital;São Paulo;087 DP - Vila Pereira Barreto
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;087 DP - Vila Pereira Barreto
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;087 DP - Vila Pereira Barreto
TOTAL DE ESTUPRO (4);3;1;3;4;5;0;3;1;4;4;2;2;32;2023;Capital;São Paulo;087 DP - Vila Pereira Barreto
ESTUPRO;1;0;0;3;1;0;0;0;0;0;0;0;5;2023;Capital;São Paulo;087 DP - Vila Pereira Barreto
ESTUPRO DE VULNERÁVEL;2;1;3;1;4;0;3;1;4;4;2;2;27;2023;Capital;São Paulo;087 DP - Vila Pereira Barreto
TOTAL DE ROUBO - OUTROS (1);76;68;94;65;71;49;59;86;72;108;79;70;897;2023;Capital;São Paulo;087 DP - Vila Pereira Barreto
ROUBO - OUTROS;74;66;88;64;67;47;58;85;72;108;76;69;874;2023;Capital;São Paulo;087 DP - Vila Pereira Barreto
ROUBO DE VEÍCULO;19;15;24;14;15;12;8;14;16;15;20;20;192;2023;Capital;São Paulo;087 DP - Vila Pereira Barreto
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;087 DP - Vila Pereira Barreto
ROUBO DE CARGA;2;2;6;1;4;2;1;1;0;0;3;1;23;2023;Capital;São Paulo;087 DP - Vila Pereira Barreto
FURTO - OUTROS;96;99;118;110;132;108;117;116;113;102;118;132;1.361;2023;Capital;São Paulo;087 DP - Vila Pereira Barreto
FURTO DE VEÍCULO;32;27;35;29;34;39;35;37;30;29;34;33;394;2023;Capital;São Paulo;087 DP - Vila Pereira Barreto
