Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;0;0;1;0;0;1;0;1;1;1;0;5;2023;Capital;São Paulo;090 DP - Parque Novo Mundo
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;1;0;0;1;0;1;1;1;0;5;2023;Capital;São Paulo;090 DP - Parque Novo Mundo
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;090 DP - Parque Novo Mundo
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;090 DP - Parque Novo Mundo
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;2;0;0;0;0;1;0;0;1;3;0;1;8;2023;Capital;São Paulo;090 DP - Parque Novo Mundo
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;090 DP - Parque Novo Mundo
TENTATIVA DE HOMICÍDIO;0;0;0;2;0;0;0;1;0;1;0;0;4;2023;Capital;São Paulo;090 DP - Parque Novo Mundo
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;1;0;1;2023;Capital;São Paulo;090 DP - Parque Novo Mundo
LESÃO CORPORAL DOLOSA;13;12;23;13;26;18;15;30;23;26;17;20;236;2023;Capital;São Paulo;090 DP - Parque Novo Mundo
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;8;7;12;8;9;8;6;15;12;15;5;5;110;2023;Capital;São Paulo;090 DP - Parque Novo Mundo
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;2;0;1;1;0;4;2023;Capital;São Paulo;090 DP - Parque Novo Mundo
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;090 DP - Parque Novo Mundo
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;090 DP - Parque Novo Mundo
TOTAL DE ESTUPRO (4);0;0;0;0;2;3;0;3;2;2;0;2;14;2023;Capital;São Paulo;090 DP - Parque Novo Mundo
ESTUPRO;0;0;0;0;0;2;0;0;0;1;0;0;3;2023;Capital;São Paulo;090 DP - Parque Novo Mundo
ESTUPRO DE VULNERÁVEL;0;0;0;0;2;1;0;3;2;1;0;2;11;2023;Capital;São Paulo;090 DP - Parque Novo Mundo
TOTAL DE ROUBO - OUTROS (1);75;68;53;65;70;65;74;79;63;88;79;68;847;2023;Capital;São Paulo;090 DP - Parque Novo Mundo
ROUBO - OUTROS;68;63;43;57;60;58;66;75;54;84;56;64;748;2023;Capital;São Paulo;090 DP - Parque Novo Mundo
ROUBO DE VEÍCULO;11;4;4;9;13;9;8;11;9;4;13;9;104;2023;Capital;São Paulo;090 DP - Parque Novo Mundo
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;090 DP - Parque Novo Mundo
ROUBO DE CARGA;7;5;10;8;10;7;8;4;9;4;23;4;99;2023;Capital;São Paulo;090 DP - Parque Novo Mundo
FURTO - OUTROS;122;90;83;71;101;96;149;114;112;95;134;111;1.278;2023;Capital;São Paulo;090 DP - Parque Novo Mundo
FURTO DE VEÍCULO;21;22;8;13;15;24;13;26;24;34;26;20;246;2023;Capital;São Paulo;090 DP - Parque Novo Mundo
