Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;1;0;0;0;0;0;2;0;0;0;0;3;2023;Capital;São Paulo;091 DP - Ceagesp
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;1;0;0;0;0;0;2;0;0;0;0;3;2023;Capital;São Paulo;091 DP - Ceagesp
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;091 DP - Ceagesp
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;091 DP - Ceagesp
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;1;0;0;0;0;0;2;1;1;1;0;0;6;2023;Capital;São Paulo;091 DP - Ceagesp
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;091 DP - Ceagesp
TENTATIVA DE HOMICÍDIO;1;0;0;0;0;0;0;0;0;1;1;0;3;2023;Capital;São Paulo;091 DP - Ceagesp
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;091 DP - Ceagesp
LESÃO CORPORAL DOLOSA;8;20;12;15;10;18;19;23;33;16;10;12;196;2023;Capital;São Paulo;091 DP - Ceagesp
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;9;10;13;14;10;8;7;18;9;14;14;8;134;2023;Capital;São Paulo;091 DP - Ceagesp
LESÃO CORPORAL CULPOSA - OUTRAS;1;0;2;0;2;1;0;1;0;0;0;0;7;2023;Capital;São Paulo;091 DP - Ceagesp
LATROCÍNIO;0;0;0;0;0;1;0;0;0;0;0;0;1;2023;Capital;São Paulo;091 DP - Ceagesp
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;1;0;0;0;0;0;0;1;2023;Capital;São Paulo;091 DP - Ceagesp
TOTAL DE ESTUPRO (4);1;0;1;1;1;2;0;1;2;0;0;2;11;2023;Capital;São Paulo;091 DP - Ceagesp
ESTUPRO;0;0;1;0;0;0;0;0;1;0;0;1;3;2023;Capital;São Paulo;091 DP - Ceagesp
ESTUPRO DE VULNERÁVEL;1;0;0;1;1;2;0;1;1;0;0;1;8;2023;Capital;São Paulo;091 DP - Ceagesp
TOTAL DE ROUBO - OUTROS (1);50;52;59;59;51;37;70;64;49;46;39;56;632;2023;Capital;São Paulo;091 DP - Ceagesp
ROUBO - OUTROS;50;51;57;56;50;36;68;62;47;44;37;53;611;2023;Capital;São Paulo;091 DP - Ceagesp
ROUBO DE VEÍCULO;15;8;5;14;8;7;5;12;14;11;9;9;117;2023;Capital;São Paulo;091 DP - Ceagesp
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;091 DP - Ceagesp
ROUBO DE CARGA;0;1;2;3;1;1;2;2;2;2;2;3;21;2023;Capital;São Paulo;091 DP - Ceagesp
FURTO - OUTROS;172;147;186;149;168;174;185;184;180;192;187;168;2.092;2023;Capital;São Paulo;091 DP - Ceagesp
FURTO DE VEÍCULO;26;26;48;28;26;22;22;26;38;42;33;26;363;2023;Capital;São Paulo;091 DP - Ceagesp
