Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);4;3;3;3;1;1;1;1;0;1;2;1;21;2023;Capital;São Paulo;092 DP - Parque Santo Antônio
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);4;6;3;3;1;2;1;1;0;1;2;1;25;2023;Capital;São Paulo;092 DP - Parque Santo Antônio
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;1;0;0;0;0;0;0;0;0;0;0;1;2023;Capital;São Paulo;092 DP - Parque Santo Antônio
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;4;0;0;0;0;0;0;0;0;0;0;4;2023;Capital;São Paulo;092 DP - Parque Santo Antônio
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;1;0;3;1;0;0;3;2;1;1;5;17;2023;Capital;São Paulo;092 DP - Parque Santo Antônio
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;1;0;1;2023;Capital;São Paulo;092 DP - Parque Santo Antônio
TENTATIVA DE HOMICÍDIO;1;3;0;1;1;1;1;1;1;2;2;2;16;2023;Capital;São Paulo;092 DP - Parque Santo Antônio
LESÃO CORPORAL SEGUIDA DE MORTE;1;0;0;0;0;0;0;0;0;0;0;0;1;2023;Capital;São Paulo;092 DP - Parque Santo Antônio
LESÃO CORPORAL DOLOSA;62;62;57;49;62;56;50;71;75;75;60;83;762;2023;Capital;São Paulo;092 DP - Parque Santo Antônio
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;25;14;21;26;20;20;21;20;26;19;21;18;251;2023;Capital;São Paulo;092 DP - Parque Santo Antônio
LESÃO CORPORAL CULPOSA - OUTRAS;1;1;2;2;0;0;0;0;0;0;1;1;8;2023;Capital;São Paulo;092 DP - Parque Santo Antônio
LATROCÍNIO;0;0;0;0;0;0;0;0;1;0;1;0;2;2023;Capital;São Paulo;092 DP - Parque Santo Antônio
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;1;0;1;0;2;2023;Capital;São Paulo;092 DP - Parque Santo Antônio
TOTAL DE ESTUPRO (4);3;2;6;8;9;9;3;7;4;11;5;6;73;2023;Capital;São Paulo;092 DP - Parque Santo Antônio
ESTUPRO;1;1;2;3;1;2;1;1;1;2;0;1;16;2023;Capital;São Paulo;092 DP - Parque Santo Antônio
ESTUPRO DE VULNERÁVEL;2;1;4;5;8;7;2;6;3;9;5;5;57;2023;Capital;São Paulo;092 DP - Parque Santo Antônio
TOTAL DE ROUBO - OUTROS (1);223;208;235;206;253;222;226;231;203;184;217;180;2.588;2023;Capital;São Paulo;092 DP - Parque Santo Antônio
ROUBO - OUTROS;218;204;232;199;250;219;226;227;197;179;214;177;2.542;2023;Capital;São Paulo;092 DP - Parque Santo Antônio
ROUBO DE VEÍCULO;17;18;28;20;19;23;22;15;11;24;29;28;254;2023;Capital;São Paulo;092 DP - Parque Santo Antônio
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;092 DP - Parque Santo Antônio
ROUBO DE CARGA;5;4;3;7;3;3;0;4;6;5;3;3;46;2023;Capital;São Paulo;092 DP - Parque Santo Antônio
FURTO - OUTROS;201;182;236;228;216;229;231;246;244;249;267;277;2.806;2023;Capital;São Paulo;092 DP - Parque Santo Antônio
FURTO DE VEÍCULO;31;25;31;26;45;32;26;45;34;31;39;30;395;2023;Capital;São Paulo;092 DP - Parque Santo Antônio
