Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;1;0;1;0;0;0;0;1;0;2;0;5;2023;Capital;São Paulo;093 DP - Jaguaré
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;1;0;1;0;0;0;0;1;0;2;0;5;2023;Capital;São Paulo;093 DP - Jaguaré
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;093 DP - Jaguaré
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;093 DP - Jaguaré
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;1;1;2;0;1;1;0;1;0;0;1;0;8;2023;Capital;São Paulo;093 DP - Jaguaré
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;093 DP - Jaguaré
TENTATIVA DE HOMICÍDIO;0;2;0;1;0;0;0;0;0;0;1;0;4;2023;Capital;São Paulo;093 DP - Jaguaré
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;093 DP - Jaguaré
LESÃO CORPORAL DOLOSA;21;18;20;15;21;21;22;23;25;16;17;26;245;2023;Capital;São Paulo;093 DP - Jaguaré
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;14;7;26;16;13;20;17;14;18;16;11;7;179;2023;Capital;São Paulo;093 DP - Jaguaré
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;1;0;0;0;1;0;1;0;1;0;4;2023;Capital;São Paulo;093 DP - Jaguaré
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;093 DP - Jaguaré
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;093 DP - Jaguaré
TOTAL DE ESTUPRO (4);4;2;2;0;3;2;0;2;0;1;0;0;16;2023;Capital;São Paulo;093 DP - Jaguaré
ESTUPRO;1;0;0;0;2;0;0;0;0;1;0;0;4;2023;Capital;São Paulo;093 DP - Jaguaré
ESTUPRO DE VULNERÁVEL;3;2;2;0;1;2;0;2;0;0;0;0;12;2023;Capital;São Paulo;093 DP - Jaguaré
TOTAL DE ROUBO - OUTROS (1);68;74;75;79;72;78;76;77;59;72;77;80;887;2023;Capital;São Paulo;093 DP - Jaguaré
ROUBO - OUTROS;67;69;72;79;71;72;70;76;57;70;74;76;853;2023;Capital;São Paulo;093 DP - Jaguaré
ROUBO DE VEÍCULO;10;7;8;7;12;9;3;12;12;10;6;5;101;2023;Capital;São Paulo;093 DP - Jaguaré
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;093 DP - Jaguaré
ROUBO DE CARGA;1;5;3;0;1;6;6;1;2;2;3;4;34;2023;Capital;São Paulo;093 DP - Jaguaré
FURTO - OUTROS;92;96;138;152;163;131;130;129;163;220;154;156;1.724;2023;Capital;São Paulo;093 DP - Jaguaré
FURTO DE VEÍCULO;36;23;41;23;39;39;31;23;28;42;25;26;376;2023;Capital;São Paulo;093 DP - Jaguaré
