Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;0;0;0;1;0;0;0;0;0;0;0;1;2023;Capital;São Paulo;096 DP - Monções
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;1;0;0;0;0;0;0;0;1;2023;Capital;São Paulo;096 DP - Monções
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;096 DP - Monções
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;096 DP - Monções
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;1;0;0;0;1;0;0;1;1;0;0;1;5;2023;Capital;São Paulo;096 DP - Monções
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;096 DP - Monções
TENTATIVA DE HOMICÍDIO;0;1;1;1;0;0;0;0;0;1;0;0;4;2023;Capital;São Paulo;096 DP - Monções
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;096 DP - Monções
LESÃO CORPORAL DOLOSA;14;22;22;20;15;26;22;15;19;17;21;28;241;2023;Capital;São Paulo;096 DP - Monções
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;8;9;17;7;11;12;11;16;14;16;16;10;147;2023;Capital;São Paulo;096 DP - Monções
LESÃO CORPORAL CULPOSA - OUTRAS;2;1;0;1;1;1;3;2;0;3;1;1;16;2023;Capital;São Paulo;096 DP - Monções
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;096 DP - Monções
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;096 DP - Monções
TOTAL DE ESTUPRO (4);0;1;1;0;0;1;0;2;0;1;0;3;9;2023;Capital;São Paulo;096 DP - Monções
ESTUPRO;0;0;0;0;0;0;0;1;0;1;0;0;2;2023;Capital;São Paulo;096 DP - Monções
ESTUPRO DE VULNERÁVEL;0;1;1;0;0;1;0;1;0;0;0;3;7;2023;Capital;São Paulo;096 DP - Monções
TOTAL DE ROUBO - OUTROS (1);184;133;195;166;219;220;199;142;190;170;200;220;2.238;2023;Capital;São Paulo;096 DP - Monções
ROUBO - OUTROS;183;133;191;163;218;217;198;139;189;169;197;217;2.214;2023;Capital;São Paulo;096 DP - Monções
ROUBO DE VEÍCULO;13;10;12;8;17;9;6;6;8;7;16;11;123;2023;Capital;São Paulo;096 DP - Monções
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;096 DP - Monções
ROUBO DE CARGA;1;0;4;3;1;3;1;3;1;1;3;3;24;2023;Capital;São Paulo;096 DP - Monções
FURTO - OUTROS;267;221;258;223;250;230;248;250;274;287;322;324;3.154;2023;Capital;São Paulo;096 DP - Monções
FURTO DE VEÍCULO;28;22;26;23;28;20;25;17;22;23;22;22;278;2023;Capital;São Paulo;096 DP - Monções
