Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;0;0;0;1;0;1;0;0;0;1;0;3;2023;Capital;São Paulo;097 DP - Americanópolis
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;1;0;1;0;0;0;1;0;3;2023;Capital;São Paulo;097 DP - Americanópolis
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;097 DP - Americanópolis
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;097 DP - Americanópolis
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;3;0;0;0;0;0;0;3;0;1;0;0;7;2023;Capital;São Paulo;097 DP - Americanópolis
HOMICÍDIO CULPOSO OUTROS;0;0;1;0;1;0;0;0;0;0;0;0;2;2023;Capital;São Paulo;097 DP - Americanópolis
TENTATIVA DE HOMICÍDIO;0;0;0;1;0;3;0;1;0;1;0;0;6;2023;Capital;São Paulo;097 DP - Americanópolis
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;097 DP - Americanópolis
LESÃO CORPORAL DOLOSA;29;12;40;27;18;26;19;32;27;34;27;24;315;2023;Capital;São Paulo;097 DP - Americanópolis
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;12;12;10;12;6;7;5;14;8;13;13;9;121;2023;Capital;São Paulo;097 DP - Americanópolis
LESÃO CORPORAL CULPOSA - OUTRAS;0;1;0;0;0;1;0;0;0;1;0;2;5;2023;Capital;São Paulo;097 DP - Americanópolis
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;097 DP - Americanópolis
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;097 DP - Americanópolis
TOTAL DE ESTUPRO (4);1;3;0;1;1;1;2;1;5;0;0;3;18;2023;Capital;São Paulo;097 DP - Americanópolis
ESTUPRO;1;2;0;0;0;0;2;1;0;0;0;1;7;2023;Capital;São Paulo;097 DP - Americanópolis
ESTUPRO DE VULNERÁVEL;0;1;0;1;1;1;0;0;5;0;0;2;11;2023;Capital;São Paulo;097 DP - Americanópolis
TOTAL DE ROUBO - OUTROS (1);96;63;82;71;75;67;84;81;59;71;80;87;916;2023;Capital;São Paulo;097 DP - Americanópolis
ROUBO - OUTROS;95;62;82;71;70;66;82;80;59;71;79;85;902;2023;Capital;São Paulo;097 DP - Americanópolis
ROUBO DE VEÍCULO;27;19;17;13;12;17;14;12;19;13;14;22;199;2023;Capital;São Paulo;097 DP - Americanópolis
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;097 DP - Americanópolis
ROUBO DE CARGA;1;1;0;0;5;1;2;1;0;0;1;2;14;2023;Capital;São Paulo;097 DP - Americanópolis
FURTO - OUTROS;84;91;123;115;137;114;110;154;139;140;99;122;1.428;2023;Capital;São Paulo;097 DP - Americanópolis
FURTO DE VEÍCULO;17;6;17;14;13;11;11;13;15;11;14;15;157;2023;Capital;São Paulo;097 DP - Americanópolis
