Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;0;3;2;2;1;0;0;1;2;1;0;12;2023;Capital;São Paulo;098 DP - Jardim Míriam
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;3;2;2;2;0;0;1;2;1;0;13;2023;Capital;São Paulo;098 DP - Jardim Míriam
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;098 DP - Jardim Míriam
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;098 DP - Jardim Míriam
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;1;0;0;0;0;0;1;1;1;0;4;2023;Capital;São Paulo;098 DP - Jardim Míriam
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;098 DP - Jardim Míriam
TENTATIVA DE HOMICÍDIO;0;0;1;1;0;1;2;0;1;3;1;1;11;2023;Capital;São Paulo;098 DP - Jardim Míriam
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;098 DP - Jardim Míriam
LESÃO CORPORAL DOLOSA;39;35;46;43;48;37;43;43;45;51;42;56;528;2023;Capital;São Paulo;098 DP - Jardim Míriam
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;13;8;8;8;4;12;8;14;15;15;13;13;131;2023;Capital;São Paulo;098 DP - Jardim Míriam
LESÃO CORPORAL CULPOSA - OUTRAS;0;1;0;2;0;0;0;0;0;1;1;0;5;2023;Capital;São Paulo;098 DP - Jardim Míriam
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;098 DP - Jardim Míriam
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;098 DP - Jardim Míriam
TOTAL DE ESTUPRO (4);6;5;6;3;3;7;3;6;4;6;4;7;60;2023;Capital;São Paulo;098 DP - Jardim Míriam
ESTUPRO;1;1;1;1;1;2;1;1;0;1;0;1;11;2023;Capital;São Paulo;098 DP - Jardim Míriam
ESTUPRO DE VULNERÁVEL;5;4;5;2;2;5;2;5;4;5;4;6;49;2023;Capital;São Paulo;098 DP - Jardim Míriam
TOTAL DE ROUBO - OUTROS (1);138;125;176;151;153;180;157;166;124;128;114;100;1.712;2023;Capital;São Paulo;098 DP - Jardim Míriam
ROUBO - OUTROS;136;123;171;149;150;179;156;164;123;127;113;99;1.690;2023;Capital;São Paulo;098 DP - Jardim Míriam
ROUBO DE VEÍCULO;29;29;36;26;30;37;25;24;28;28;24;36;352;2023;Capital;São Paulo;098 DP - Jardim Míriam
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;098 DP - Jardim Míriam
ROUBO DE CARGA;2;2;5;2;3;1;1;2;1;1;1;1;22;2023;Capital;São Paulo;098 DP - Jardim Míriam
FURTO - OUTROS;103;113;132;136;140;124;137;152;149;163;131;118;1.598;2023;Capital;São Paulo;098 DP - Jardim Míriam
FURTO DE VEÍCULO;13;18;25;14;20;14;16;18;11;28;29;20;226;2023;Capital;São Paulo;098 DP - Jardim Míriam
