Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;1;0;1;0;1;3;2023;Capital;São Paulo;099 DP - Campo Grande
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;1;0;1;0;1;3;2023;Capital;São Paulo;099 DP - Campo Grande
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;099 DP - Campo Grande
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;099 DP - Campo Grande
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;1;2;0;1;0;2;1;0;1;1;4;13;2023;Capital;São Paulo;099 DP - Campo Grande
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;099 DP - Campo Grande
TENTATIVA DE HOMICÍDIO;1;0;1;0;0;0;0;0;0;0;0;0;2;2023;Capital;São Paulo;099 DP - Campo Grande
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;099 DP - Campo Grande
LESÃO CORPORAL DOLOSA;10;8;17;14;18;17;14;16;15;18;13;16;176;2023;Capital;São Paulo;099 DP - Campo Grande
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;6;14;15;11;7;11;9;12;18;11;14;9;137;2023;Capital;São Paulo;099 DP - Campo Grande
LESÃO CORPORAL CULPOSA - OUTRAS;0;1;1;1;2;1;1;0;0;1;0;3;11;2023;Capital;São Paulo;099 DP - Campo Grande
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;099 DP - Campo Grande
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;099 DP - Campo Grande
TOTAL DE ESTUPRO (4);0;1;0;0;2;2;0;0;2;0;0;1;8;2023;Capital;São Paulo;099 DP - Campo Grande
ESTUPRO;0;0;0;0;1;0;0;0;1;0;0;0;2;2023;Capital;São Paulo;099 DP - Campo Grande
ESTUPRO DE VULNERÁVEL;0;1;0;0;1;2;0;0;1;0;0;1;6;2023;Capital;São Paulo;099 DP - Campo Grande
TOTAL DE ROUBO - OUTROS (1);123;95;130;97;103;105;81;102;56;89;83;87;1.151;2023;Capital;São Paulo;099 DP - Campo Grande
ROUBO - OUTROS;120;92;124;96;102;104;79;101;54;85;81;86;1.124;2023;Capital;São Paulo;099 DP - Campo Grande
ROUBO DE VEÍCULO;18;14;35;27;26;34;24;18;16;30;23;33;298;2023;Capital;São Paulo;099 DP - Campo Grande
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;099 DP - Campo Grande
ROUBO DE CARGA;3;3;6;1;1;1;2;1;2;4;2;1;27;2023;Capital;São Paulo;099 DP - Campo Grande
FURTO - OUTROS;190;159;147;184;194;162;176;185;182;183;173;165;2.100;2023;Capital;São Paulo;099 DP - Campo Grande
FURTO DE VEÍCULO;63;51;54;58;46;49;61;69;47;58;43;64;663;2023;Capital;São Paulo;099 DP - Campo Grande
