Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;0;1;2;1;1;0;1;1;1;2;0;10;2023;Capital;São Paulo;101 DP - Jardim das Imbuias
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;1;2;1;2;0;1;1;1;2;0;11;2023;Capital;São Paulo;101 DP - Jardim das Imbuias
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;101 DP - Jardim das Imbuias
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;101 DP - Jardim das Imbuias
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;1;3;0;0;1;0;0;2;2;0;1;10;2023;Capital;São Paulo;101 DP - Jardim das Imbuias
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;1;0;0;0;1;2023;Capital;São Paulo;101 DP - Jardim das Imbuias
TENTATIVA DE HOMICÍDIO;2;1;2;1;0;1;0;1;2;0;0;0;10;2023;Capital;São Paulo;101 DP - Jardim das Imbuias
LESÃO CORPORAL SEGUIDA DE MORTE;1;0;0;0;0;0;1;0;0;0;0;0;2;2023;Capital;São Paulo;101 DP - Jardim das Imbuias
LESÃO CORPORAL DOLOSA;47;55;57;51;55;52;42;59;59;40;66;66;649;2023;Capital;São Paulo;101 DP - Jardim das Imbuias
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;18;12;21;11;17;17;19;21;25;22;15;19;217;2023;Capital;São Paulo;101 DP - Jardim das Imbuias
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;1;0;1;1;0;1;0;1;0;1;6;2023;Capital;São Paulo;101 DP - Jardim das Imbuias
LATROCÍNIO;0;0;0;0;0;1;0;0;0;0;0;0;1;2023;Capital;São Paulo;101 DP - Jardim das Imbuias
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;1;0;0;0;0;0;0;1;2023;Capital;São Paulo;101 DP - Jardim das Imbuias
TOTAL DE ESTUPRO (4);7;7;8;4;2;5;4;4;5;6;10;1;63;2023;Capital;São Paulo;101 DP - Jardim das Imbuias
ESTUPRO;2;2;1;2;0;2;0;1;1;1;2;1;15;2023;Capital;São Paulo;101 DP - Jardim das Imbuias
ESTUPRO DE VULNERÁVEL;5;5;7;2;2;3;4;3;4;5;8;0;48;2023;Capital;São Paulo;101 DP - Jardim das Imbuias
TOTAL DE ROUBO - OUTROS (1);174;134;192;155;223;212;203;217;217;246;205;222;2.400;2023;Capital;São Paulo;101 DP - Jardim das Imbuias
ROUBO - OUTROS;169;130;186;151;213;199;195;206;202;228;189;193;2.261;2023;Capital;São Paulo;101 DP - Jardim das Imbuias
ROUBO DE VEÍCULO;32;8;20;27;31;24;29;28;17;30;27;29;302;2023;Capital;São Paulo;101 DP - Jardim das Imbuias
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;101 DP - Jardim das Imbuias
ROUBO DE CARGA;5;4;6;4;10;13;8;11;15;18;16;29;139;2023;Capital;São Paulo;101 DP - Jardim das Imbuias
FURTO - OUTROS;204;164;191;296;249;246;204;238;251;233;195;221;2.692;2023;Capital;São Paulo;101 DP - Jardim das Imbuias
FURTO DE VEÍCULO;13;19;19;20;27;34;27;26;25;28;29;21;288;2023;Capital;São Paulo;101 DP - Jardim das Imbuias
