Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;1;1;0;0;0;0;0;0;0;0;0;2;2023;Capital;São Paulo;102 DP - Socorro
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;1;1;0;0;0;0;0;0;0;0;0;2;2023;Capital;São Paulo;102 DP - Socorro
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;102 DP - Socorro
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;102 DP - Socorro
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;1;1;0;0;0;2;2;0;1;1;0;8;2023;Capital;São Paulo;102 DP - Socorro
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;102 DP - Socorro
TENTATIVA DE HOMICÍDIO;0;1;0;0;1;0;0;0;0;0;0;0;2;2023;Capital;São Paulo;102 DP - Socorro
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;102 DP - Socorro
LESÃO CORPORAL DOLOSA;7;7;15;18;13;5;11;11;12;13;23;19;154;2023;Capital;São Paulo;102 DP - Socorro
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;8;10;10;10;13;14;13;15;21;12;10;9;145;2023;Capital;São Paulo;102 DP - Socorro
LESÃO CORPORAL CULPOSA - OUTRAS;2;0;0;0;0;0;0;1;0;0;0;1;4;2023;Capital;São Paulo;102 DP - Socorro
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;102 DP - Socorro
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;102 DP - Socorro
TOTAL DE ESTUPRO (4);0;2;1;0;1;0;0;1;0;0;1;1;7;2023;Capital;São Paulo;102 DP - Socorro
ESTUPRO;0;2;0;0;0;0;0;0;0;0;1;0;3;2023;Capital;São Paulo;102 DP - Socorro
ESTUPRO DE VULNERÁVEL;0;0;1;0;1;0;0;1;0;0;0;1;4;2023;Capital;São Paulo;102 DP - Socorro
TOTAL DE ROUBO - OUTROS (1);55;59;66;47;47;64;57;37;45;29;27;45;578;2023;Capital;São Paulo;102 DP - Socorro
ROUBO - OUTROS;53;54;63;45;45;64;56;37;42;29;27;43;558;2023;Capital;São Paulo;102 DP - Socorro
ROUBO DE VEÍCULO;8;5;20;8;4;7;16;6;11;19;14;16;134;2023;Capital;São Paulo;102 DP - Socorro
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;102 DP - Socorro
ROUBO DE CARGA;2;5;3;2;2;0;1;0;3;0;0;2;20;2023;Capital;São Paulo;102 DP - Socorro
FURTO - OUTROS;87;86;87;108;132;96;78;78;104;83;75;89;1.103;2023;Capital;São Paulo;102 DP - Socorro
FURTO DE VEÍCULO;22;17;25;14;19;24;26;19;16;19;27;16;244;2023;Capital;São Paulo;102 DP - Socorro
