Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;0;0;2;0;0;0;0;0;1;0;0;3;2023;Capital;São Paulo;103 DP - Cohab Itaquera
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;2;0;0;0;0;0;1;0;0;3;2023;Capital;São Paulo;103 DP - Cohab Itaquera
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;103 DP - Cohab Itaquera
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;103 DP - Cohab Itaquera
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;1;1;0;0;1;0;3;2023;Capital;São Paulo;103 DP - Cohab Itaquera
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;103 DP - Cohab Itaquera
TENTATIVA DE HOMICÍDIO;0;1;1;0;0;0;0;0;0;0;0;2;4;2023;Capital;São Paulo;103 DP - Cohab Itaquera
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;103 DP - Cohab Itaquera
LESÃO CORPORAL DOLOSA;29;25;42;34;27;24;36;32;24;39;40;19;371;2023;Capital;São Paulo;103 DP - Cohab Itaquera
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;2;3;7;7;10;5;4;9;8;8;6;6;75;2023;Capital;São Paulo;103 DP - Cohab Itaquera
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;1;0;0;0;0;0;0;2;0;3;2023;Capital;São Paulo;103 DP - Cohab Itaquera
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;103 DP - Cohab Itaquera
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;103 DP - Cohab Itaquera
TOTAL DE ESTUPRO (4);3;4;5;3;5;3;0;3;2;1;2;2;33;2023;Capital;São Paulo;103 DP - Cohab Itaquera
ESTUPRO;1;0;3;1;2;1;0;0;0;0;0;0;8;2023;Capital;São Paulo;103 DP - Cohab Itaquera
ESTUPRO DE VULNERÁVEL;2;4;2;2;3;2;0;3;2;1;2;2;25;2023;Capital;São Paulo;103 DP - Cohab Itaquera
TOTAL DE ROUBO - OUTROS (1);84;56;76;71;98;79;78;77;82;99;78;98;976;2023;Capital;São Paulo;103 DP - Cohab Itaquera
ROUBO - OUTROS;84;56;76;71;98;78;77;77;81;99;78;97;972;2023;Capital;São Paulo;103 DP - Cohab Itaquera
ROUBO DE VEÍCULO;9;7;15;7;7;15;7;14;12;12;5;18;128;2023;Capital;São Paulo;103 DP - Cohab Itaquera
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;103 DP - Cohab Itaquera
ROUBO DE CARGA;0;0;0;0;0;1;1;0;1;0;0;1;4;2023;Capital;São Paulo;103 DP - Cohab Itaquera
FURTO - OUTROS;99;64;96;86;140;90;89;98;76;104;100;88;1.130;2023;Capital;São Paulo;103 DP - Cohab Itaquera
FURTO DE VEÍCULO;24;29;23;23;33;27;35;29;30;16;24;27;320;2023;Capital;São Paulo;103 DP - Cohab Itaquera
