Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;8ª DDM - 8ª Seccional São Mateus
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;8ª DDM - 8ª Seccional São Mateus
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;8ª DDM - 8ª Seccional São Mateus
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;8ª DDM - 8ª Seccional São Mateus
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;8ª DDM - 8ª Seccional São Mateus
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;8ª DDM - 8ª Seccional São Mateus
TENTATIVA DE HOMICÍDIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;8ª DDM - 8ª Seccional São Mateus
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;8ª DDM - 8ª Seccional São Mateus
LESÃO CORPORAL DOLOSA;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;8ª DDM - 8ª Seccional São Mateus
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;8ª DDM - 8ª Seccional São Mateus
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;8ª DDM - 8ª Seccional São Mateus
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;8ª DDM - 8ª Seccional São Mateus
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;8ª DDM - 8ª Seccional São Mateus
TOTAL DE ESTUPRO (4);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;8ª DDM - 8ª Seccional São Mateus
ESTUPRO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;8ª DDM - 8ª Seccional São Mateus
ESTUPRO DE VULNERÁVEL;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;8ª DDM - 8ª Seccional São Mateus
TOTAL DE ROUBO - OUTROS (1);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;8ª DDM - 8ª Seccional São Mateus
ROUBO - OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;8ª DDM - 8ª Seccional São Mateus
ROUBO DE VEÍCULO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;8ª DDM - 8ª Seccional São Mateus
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;8ª DDM - 8ª Seccional São Mateus
ROUBO DE CARGA;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;8ª DDM - 8ª Seccional São Mateus
FURTO - OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;8ª DDM - 8ª Seccional São Mateus
FURTO DE VEÍCULO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;8ª DDM - 8ª Seccional São Mateus
