Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Del. Aeroporto SP - Congonhas
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Del. Aeroporto SP - Congonhas
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Del. Aeroporto SP - Congonhas
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Del. Aeroporto SP - Congonhas
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Del. Aeroporto SP - Congonhas
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Del. Aeroporto SP - Congonhas
TENTATIVA DE HOMICÍDIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Del. Aeroporto SP - Congonhas
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Del. Aeroporto SP - Congonhas
LESÃO CORPORAL DOLOSA;3;1;1;1;0;2;1;1;2;2;2;3;19;2023;Capital;São Paulo;Del. Aeroporto SP - Congonhas
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;1;0;0;0;1;0;0;1;0;1;0;0;4;2023;Capital;São Paulo;Del. Aeroporto SP - Congonhas
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;0;0;0;1;0;1;2023;Capital;São Paulo;Del. Aeroporto SP - Congonhas
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Del. Aeroporto SP - Congonhas
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Del. Aeroporto SP - Congonhas
TOTAL DE ESTUPRO (4);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Del. Aeroporto SP - Congonhas
ESTUPRO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Del. Aeroporto SP - Congonhas
ESTUPRO DE VULNERÁVEL;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Del. Aeroporto SP - Congonhas
TOTAL DE ROUBO - OUTROS (1);0;0;0;1;1;1;0;0;1;1;1;0;6;2023;Capital;São Paulo;Del. Aeroporto SP - Congonhas
ROUBO - OUTROS;0;0;0;1;1;1;0;0;1;1;1;0;6;2023;Capital;São Paulo;Del. Aeroporto SP - Congonhas
ROUBO DE VEÍCULO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Del. Aeroporto SP - Congonhas
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Del. Aeroporto SP - Congonhas
ROUBO DE CARGA;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Del. Aeroporto SP - Congonhas
FURTO - OUTROS;7;8;11;10;7;12;4;8;11;16;13;11;118;2023;Capital;São Paulo;Del. Aeroporto SP - Congonhas
FURTO DE VEÍCULO;0;0;1;2;1;1;0;0;1;0;0;0;6;2023;Capital;São Paulo;Del. Aeroporto SP - Congonhas
