Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia de Proteção ao Idoso - 1ª Seccional - Centro
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia de Proteção ao Idoso - 1ª Seccional - Centro
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia de Proteção ao Idoso - 1ª Seccional - Centro
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia de Proteção ao Idoso - 1ª Seccional - Centro
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia de Proteção ao Idoso - 1ª Seccional - Centro
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia de Proteção ao Idoso - 1ª Seccional - Centro
TENTATIVA DE HOMICÍDIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia de Proteção ao Idoso - 1ª Seccional - Centro
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia de Proteção ao Idoso - 1ª Seccional - Centro
LESÃO CORPORAL DOLOSA;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia de Proteção ao Idoso - 1ª Seccional - Centro
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia de Proteção ao Idoso - 1ª Seccional - Centro
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia de Proteção ao Idoso - 1ª Seccional - Centro
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia de Proteção ao Idoso - 1ª Seccional - Centro
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia de Proteção ao Idoso - 1ª Seccional - Centro
TOTAL DE ESTUPRO (4);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia de Proteção ao Idoso - 1ª Seccional - Centro
ESTUPRO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia de Proteção ao Idoso - 1ª Seccional - Centro
ESTUPRO DE VULNERÁVEL;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia de Proteção ao Idoso - 1ª Seccional - Centro
TOTAL DE ROUBO - OUTROS (1);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia de Proteção ao Idoso - 1ª Seccional - Centro
ROUBO - OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia de Proteção ao Idoso - 1ª Seccional - Centro
ROUBO DE VEÍCULO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia de Proteção ao Idoso - 1ª Seccional - Centro
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia de Proteção ao Idoso - 1ª Seccional - Centro
ROUBO DE CARGA;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia de Proteção ao Idoso - 1ª Seccional - Centro
FURTO - OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia de Proteção ao Idoso - 1ª Seccional - Centro
FURTO DE VEÍCULO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia de Proteção ao Idoso - 1ª Seccional - Centro
