Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia do Idoso - 3ª Seccional - Oeste
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia do Idoso - 3ª Seccional - Oeste
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia do Idoso - 3ª Seccional - Oeste
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia do Idoso - 3ª Seccional - Oeste
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia do Idoso - 3ª Seccional - Oeste
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia do Idoso - 3ª Seccional - Oeste
TENTATIVA DE HOMICÍDIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia do Idoso - 3ª Seccional - Oeste
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia do Idoso - 3ª Seccional - Oeste
LESÃO CORPORAL DOLOSA;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia do Idoso - 3ª Seccional - Oeste
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia do Idoso - 3ª Seccional - Oeste
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia do Idoso - 3ª Seccional - Oeste
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia do Idoso - 3ª Seccional - Oeste
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia do Idoso - 3ª Seccional - Oeste
TOTAL DE ESTUPRO (4);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia do Idoso - 3ª Seccional - Oeste
ESTUPRO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia do Idoso - 3ª Seccional - Oeste
ESTUPRO DE VULNERÁVEL;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia do Idoso - 3ª Seccional - Oeste
TOTAL DE ROUBO - OUTROS (1);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia do Idoso - 3ª Seccional - Oeste
ROUBO - OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia do Idoso - 3ª Seccional - Oeste
ROUBO DE VEÍCULO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia do Idoso - 3ª Seccional - Oeste
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia do Idoso - 3ª Seccional - Oeste
ROUBO DE CARGA;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia do Idoso - 3ª Seccional - Oeste
FURTO - OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia do Idoso - 3ª Seccional - Oeste
FURTO DE VEÍCULO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia do Idoso - 3ª Seccional - Oeste
