Natureza;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total;Year;Regiao;Municipio;Delegacia
HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia do Idoso - 4ª Seccional - Norte
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia do Idoso - 4ª Seccional - Norte
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia do Idoso - 4ª Seccional - Norte
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia do Idoso - 4ª Seccional - Norte
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia do Idoso - 4ª Seccional - Norte
HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia do Idoso - 4ª Seccional - Norte
TENTATIVA DE HOMICÍDIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia do Idoso - 4ª Seccional - Norte
LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia do Idoso - 4ª Seccional - Norte
LESÃO CORPORAL DOLOSA;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia do Idoso - 4ª Seccional - Norte
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia do Idoso - 4ª Seccional - Norte
LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia do Idoso - 4ª Seccional - Norte
LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia do Idoso - 4ª Seccional - Norte
Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia do Idoso - 4ª Seccional - Norte
TOTAL DE ESTUPRO (4);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia do Idoso - 4ª Seccional - Norte
ESTUPRO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia do Idoso - 4ª Seccional - Norte
ESTUPRO DE VULNERÁVEL;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia do Idoso - 4ª Seccional - Norte
TOTAL DE ROUBO - OUTROS (1);0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia do Idoso - 4ª Seccional - Norte
ROUBO - OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia do Idoso - 4ª Seccional - Norte
ROUBO DE VEÍCULO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia do Idoso - 4ª Seccional - Norte
ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia do Idoso - 4ª Seccional - Norte
ROUBO DE CARGA;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia do Idoso - 4ª Seccional - Norte
FURTO - OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia do Idoso - 4ª Seccional - Norte
FURTO DE VEÍCULO;0;0;0;0;0;0;0;0;0;0;0;0;0;2023;Capital;São Paulo;Delegacia do Idoso - 4ª Seccional - Norte
